Tenure_Months,predicted_LTV_6m
2,1076.9251102035678
3,1090.4738455977433
4,1094.657357944372
5,1480.5999876752662
6,1216.674058055392
7,1131.0728567619026
8,1543.4006948399115
9,901.0072392391037
10,1599.1823820712373
11,1747.2812898981274
12,865.8728261022355
13,828.2465580693635
14,1288.391935059605
15,1016.4014091084014
16,1089.6026982722733
17,1129.7014344122329
18,1117.0980959981016
19,1219.0009611037126
20,1055.7602361363429
21,1644.7590403493284
22,1198.5392006897753
23,1359.4261383122152
24,867.5871799092802
25,1468.1826277503617
26,835.475134190722
27,1175.0017515932846
28,2502.3722563891465
29,1404.5045854139973
30,1596.301415578361
31,1285.9014209551203
32,1052.6674607039367
33,1865.243550866777
34,1696.6081533726913
35,1244.8380307306923
36,1137.2908857736436
37,1251.3323437172508
38,1205.8307086604814
39,876.9685439163013
40,1749.0552034443383
41,1215.2092069736836
42,974.8284381691891
43,1444.8050215422872
44,1497.6157005903472
45,1297.8401733254836
46,1389.9074049093742
47,1026.473455621349
48,892.3121848956687
49,1238.2096076397295
50,984.8351176175304
